"Název sítě";"Třída sítí";"Délka sítě (mm)";"Počet prokovů";"Délka prokovu (mm)";"Délka spoje (mm)";"Délka od plošky po čip (mm)";"Počet plošek";"F.Cu (mm)";"B.Cu (mm)";
"GND";"Napájení a Default";434.6058;7;10.8150;423.7908;0.0000;32;166.2069;257.5838;
"+5V";"Napájení a Default";150.7235;1;1.5450;149.1785;0.0000;7;70.7569;78.4217;
"/hladina 4-20mA";"Default";29.7595;0;0.0000;29.7595;0.0000;3;0.0000;29.7595;
"/tlak_za_filtrem";"Default";15.5075;0;0.0000;15.5075;0.0000;3;0.0000;15.5075;
"/teploměry";"Default";19.2966;0;0.0000;19.2966;0.0000;3;0.0000;19.2966;
"/průtok";"Default";13.7500;0;0.0000;13.7500;0.0000;3;0.0000;13.7500;
"Net-(C1-Pad1)";"Default";11.1911;0;0.0000;11.1911;0.0000;2;0.0000;11.1911;
"Net-(D2-K)";"Default";51.5259;0;0.0000;51.5259;0.0000;6;0.0000;51.5259;
"Net-(D2-A)";"Default";11.3450;0;0.0000;11.3450;0.0000;2;0.5000;10.8450;
"Net-(D4-K)";"Default";48.0354;0;0.0000;48.0354;0.0000;4;0.0000;48.0354;
"Net-(D5-K)";"Default";40.9083;0;0.0000;40.9083;0.0000;4;0.0000;40.9083;
"Net-(D6-K)";"Default";10.7850;0;0.0000;10.7850;0.0000;4;0.0000;10.7850;
"Net-(D8-K)";"Default";22.9667;0;0.0000;22.9667;0.0000;4;0.0000;22.9667;
"Net-(D7-K)";"Default";51.5518;0;0.0000;51.5518;0.0000;3;0.0000;51.5518;
"Net-(J1-hladina_+24V)";"Default";11.4669;0;0.0000;11.4669;0.0000;2;0.0000;11.4669;
"Net-(J1-tlak_před_filtrem_+24V)";"Default";10.9864;0;0.0000;10.9864;0.0000;2;0.0000;10.9864;
"Net-(J1-tlak_za_filtrem_+24V)";"Default";10.5060;0;0.0000;10.5060;0.0000;2;0.0000;10.5060;
"Net-(J2-1wire+5V)";"Default";81.6285;0;0.0000;81.6285;0.0000;3;0.0000;81.6285;
"Net-(J2-A_RS485_elektroměr)";"Default";7.1858;0;0.0000;7.1858;0.0000;2;0.0000;7.1858;
"Net-(J2-B_RS485_elektroměr)";"Default";13.3179;0;0.0000;13.3179;0.0000;2;0.0000;13.3179;
"unconnected-(U3-ALERT/RDY-Pad6)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"+3.3V";"Napájení a Default";144.5914;2;3.0900;141.5014;0.0000;5;86.1062;55.3952;
"Net-(D9-A)";"Default";4.5932;0;0.0000;4.5932;0.0000;2;0.0000;4.5932;
"Net-(U3-SCL)";"Default";21.5788;0;0.0000;21.5788;0.0000;2;0.0000;21.5788;
"Net-(U3-SDA)";"Default";30.4238;0;0.0000;30.4238;0.0000;2;0.0000;30.4238;
"unconnected-(U4-SENSOR_VP/GPIO36/ADC1_CH0-Pad3)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-SENSOR_VN/GPIO39/ADC1_CH3-Pad4)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-CMD-Pad18)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-SD_DATA1/GPIO8-Pad22)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-ADC2_CH2/GPIO2-Pad24)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-SD_CLK/GPIO6-Pad20)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(J3-SCL)";"Default";5.1421;0;0.0000;5.1421;0.0000;2;0.0000;5.1421;
"unconnected-(U4-SD_DATA0/GPIO7-Pad21)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-ADC2_CH0/GPIO4-Pad26)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(J4-DIO)";"Default";10.3954;0;0.0000;10.3954;0.0000;2;0.0000;10.3954;
"Net-(U2-TXD)";"Default";45.4713;0;0.0000;45.4713;0.0000;2;0.0000;45.4713;
"unconnected-(U4-GPIO0/BOOT/ADC2_CH1-Pad25)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-U0RXD/GPIO3-Pad34)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-SD_DATA2/GPIO9-Pad16)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-VDET_1/GPIO34/ADC1_CH6-Pad5)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(U2-RXD)";"Default";44.6805;0;0.0000;44.6805;0.0000;2;0.0000;44.6805;
"unconnected-(U4-CHIP_PU=EN=RESET-Pad2)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-MTDO/GPIO15/ADC2_CH3-Pad23)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(J4-CLK)";"Default";12.9166;0;0.0000;12.9166;0.0000;2;0.0000;12.9166;
"unconnected-(U4-MTDI/GPIO12/ADC2_CH5-Pad13)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(U2-EN)";"Default";51.4850;0;0.0000;51.4850;0.0000;2;0.0000;51.4850;
"unconnected-(U4-VDET_2/GPIO35/ADC1_CH7-Pad6)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-U0TXD/GPIO1-Pad35)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-SD_DATA3/GPIO10-Pad17)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"+24V";"Default";6.8976;0;0.0000;6.8976;0.0000;2;0.0000;6.8976;
"Net-(U3-AIN2)";"Default";15.2950;0;0.0000;15.2950;0.0000;3;0.0000;15.2950;
"unconnected-(U3-AIN0-Pad7)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U2-GND_AB-Pad8)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"Net-(J3-SDA)";"Default";3.8511;0;0.0000;3.8511;0.0000;2;0.0000;3.8511;
"Net-(U4-GPIO16)";"Default";19.2226;0;0.0000;19.2226;0.0000;2;0.0000;19.2226;
"unconnected-(U4-GPIO21-Pad33)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-GPIO17-Pad28)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
"unconnected-(U4-GPIO5-Pad29)";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;
